Date;Hour;P;Test
26/01/2015;19;311,3;5,85
26/01/2015;20;223,6;5,525
26/01/2015;21;194,1;4,95
26/01/2015;22;184;4,8
26/01/2015;23;162,1;4,325
27/01/2015;0;161,5;3,9
27/01/2015;1;160,7;3,4
27/01/2015;2;159,5;2,975
27/01/2015;3;163,2;2,625
27/01/2015;4;166,4;2,35
27/01/2015;5;194,7;2,1
27/01/2015;6;286,5;1,55
27/01/2015;7;353,8;1,45
27/01/2015;8;504,4;1,125
27/01/2015;9;552,7;2,25
27/01/2015;10;581,2;2,975
27/01/2015;11;586,9;4,6
27/01/2015;12;625,5;5,75
27/01/2015;13;643,8;6,975
27/01/2015;14;603,2;8,475
27/01/2015;15;555,2;7,525
27/01/2015;16;487,4;7,2
27/01/2015;17;478;6,075
27/01/2015;18;469,5;5,225
27/01/2015;19;331;5
27/01/2015;20;217,9;4,825
27/01/2015;21;190,1;4,7
27/01/2015;22;181,3;4,725
27/01/2015;23;162,2;4,3
28/01/2015;0;159;3,7
28/01/2015;1;156,8;3,65
28/01/2015;2;156,6;3,7
28/01/2015;3;159;3,025
28/01/2015;4;165,2;2,7
28/01/2015;5;191,9;2,45
28/01/2015;6;286,2;1,925
28/01/2015;7;349,8;2,15
28/01/2015;8;501,3;2,325
28/01/2015;9;575,1;2,15
28/01/2015;10;562,3;3,8
28/01/2015;11;573,3;5,275
28/01/2015;12;606,2;6,25
28/01/2015;13;642,9;7,5
28/01/2015;14;602;8,75
28/01/2015;15;550,2;9,55
28/01/2015;16;481,4;9,675
28/01/2015;17;462,2;8,875
28/01/2015;18;434,7;7,55
28/01/2015;19;299,3;7,3
28/01/2015;20;215,4;5,875
28/01/2015;21;186,4;4,5
28/01/2015;22;167,6;3,725
28/01/2015;23;157,9;3,4
29/01/2015;0;157,3;3,1
29/01/2015;1;157,7;3,025
29/01/2015;2;157,4;2,5
29/01/2015;3;158,7;1,55
29/01/2015;4;166,2;1,45
29/01/2015;5;180,8;1,175
29/01/2015;6;269,2;1,35
29/01/2015;7;342,5;1,825
29/01/2015;8;519,025;2
29/01/2015;9;570,2;3,025
29/01/2015;10;556,4;4,175
29/01/2015;11;583;4,85
29/01/2015;12;619,4;6,4
29/01/2015;13;629;7,225
29/01/2015;14;591,5;6,75
29/01/2015;15;524,3;6,625
29/01/2015;16;472,6;5,45
29/01/2015;17;453,5;5,35
29/01/2015;18;410,6;4,75
29/01/2015;19;266,4;4,1
29/01/2015;20;205,2;3,25
29/01/2015;21;186,4;2,825
29/01/2015;22;174,3;1,825
29/01/2015;23;158,1;0,75
30/01/2015;0;161,1;0,575
30/01/2015;1;159,1;0,45
30/01/2015;2;159,8;0,4
30/01/2015;3;159,5;0,475
30/01/2015;4;167;0,675
30/01/2015;5;193,1;0,625
